renewable_phy_id,2023-06-01 00:15:00,2023-06-01 00:30:00,2023-06-01 00:45:00,2023-06-01 01:00:00,2023-06-01 01:15:00,2023-06-01 01:30:00,2023-06-01 01:45:00,2023-06-01 02:00:00,2023-06-01 02:15:00,2023-06-01 02:30:00,2023-06-01 02:45:00,2023-06-01 03:00:00,2023-06-01 03:15:00,2023-06-01 03:30:00,2023-06-01 03:45:00,2023-06-01 04:00:00,Cluster
300000GN000000048,5.06,6.39,6.24,3.61,5.49,2.46,1.37,1.33,4.27,4.71,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000049,6.55,6.98,9.48,5.8,7.38,7.79,8.75,10.06,13.63,11.94,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000050,2.77,2.37,3.13,1.54,4.72,3.73,1.38,3.92,3.4,5.86,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000055,10.57,8.82,5.45,5.97,6.66,4.81,2.49,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000059,8.02,5.35,5.81,2.21,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000060,4.0,2.6,1.76,1.22,0.54,0.2,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.11,0.0,0.0,2
300000GN000000061,5.38,2.72,2.52,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000064,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000065,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000066,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000077,38.35,32.62,24.7,8.07,2.29,0.18,0.56,3.99,18.57,9.92,0.0,1.09,0.0,0.0,0.0,0.0,2
300000GN000000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000079,2.1,1.78,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000080,0.49,0.39,0.15,0.07,0.01,0.05,0.02,0.0,0.0,0.43,0.03,0.04,0.03,0.03,0.03,0.03,2
300000GN000000081,5.54,5.85,4.49,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000114,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,1
300000GN000000121,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000123,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000124,8.9,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000125,7.83,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,5
300000GN000000130,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,3
300000GN000000131,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3
300000GN000000132,9.21,9.24,6.7,7.19,4.06,3.56,1.13,0.0,0.0,0.91,0.0,0.0,3.73,2.52,1.49,0.0,2
300000GN000000137,22.03,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000140,22.04,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000142,16.86,8.82,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000147,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000148,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000149,44.69,31.02,19.55,7.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000150,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
300000GN000000215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000220,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.01,3
300000GN000000221,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3
300000GN000000222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000224,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
300000GN000000225,4.78,7.95,9.2,8.33,6.54,2.8,5.46,2.46,1.82,1.79,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000307,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,3
300000GN000000308,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,3
300000GN000000309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000322,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,3
300000GN000000323,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,3
300000GN000000324,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000325,0.0,0.27,0.52,1.38,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000326,8.56,7.58,5.31,3.94,2.62,1.96,3.21,2.4,1.53,0.0,0.0,0.0,3.3,4.05,0.0,0.0,2
300000GN000000327,3.14,2.79,1.51,0.98,0.49,0.28,0.64,0.65,0.44,0.0,0.0,0.0,0.56,0.4,0.54,0.5,2
300000GN000000328,3.46,3.74,0.67,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000331,0.0,0.0,0.16,0.08,0.32,0.7,0.27,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000334,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,2
300000GN000000335,0.64,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
300000GN000000336,1.11,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
300000GN000000337,0.64,0.42,0.31,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.0,0.0,0.0,2
300000GN000000338,0.75,0.41,0.4,0.47,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.3,0.01,0.0,0.0,0.0,2
300000GN000000339,0.73,0.47,0.32,0.41,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.59,0.01,0.0,0.18,0.0,2
300000GN000000340,1.07,0.75,0.46,0.58,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,2
300000GN000000341,0.48,0.34,0.18,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2
300000GN000000342,23.1,23.1,16.71,13.91,7.55,2.85,6.15,0.15,0.0,0.0,0.0,23.1,23.1,0.0,0.0,0.0,2
300000GN000000343,5.44,4.9,3.97,5.14,2.42,1.95,2.45,1.4,0.0,0.0,0.0,3.05,11.26,0.2,0.0,0.0,2
300000GN000000344,6.17,6.35,3.72,2.52,3.16,2.2,4.93,5.22,3.51,0.26,0.0,0.0,0.0,0.0,0.0,1.86,3
300000GN000000345,1.53,0.06,2.96,1.97,3.0,2.04,0.23,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000346,0.01,0.0,1.54,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000347,10.2,7.28,5.69,4.52,0.95,0.16,0.0,0.0,0.0,0.0,7.37,5.14,0.0,0.0,0.0,0.0,2
300000GN000000348,9.62,7.52,6.03,4.24,0.88,0.0,0.0,0.0,0.0,0.0,11.56,4.29,0.0,0.35,0.0,0.13,2
300000GN000000349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000350,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000351,15.31,12.64,15.36,10.47,8.4,8.57,5.68,10.12,14.37,3.45,0.0,0.0,0.0,0.0,16.19,34.47,3
300000GN000000352,1.34,0.67,2.41,2.68,0.8,0.07,1.98,3.95,3.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000353,4.97,6.71,7.69,8.73,1.94,0.28,3.2,3.72,2.7,0.04,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000354,2.43,5.37,7.95,7.77,5.63,5.45,2.25,5.78,3.03,4.9,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000355,14.87,19.56,20.11,17.56,12.02,8.04,6.41,9.32,5.24,5.59,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000356,4.58,3.77,5.0,2.15,6.1,5.19,3.54,7.91,7.63,2.36,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000357,3.17,3.18,3.12,1.82,3.75,3.77,4.42,7.89,7.38,0.96,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000359,10.79,12.51,14.9,21.33,13.95,8.49,13.78,15.03,11.28,5.05,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000361,14.77,17.83,23.83,27.81,13.47,10.17,14.28,15.72,12.4,5.96,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000362,10.89,7.6,6.04,4.14,2.64,2.0,1.15,1.08,1.14,1.16,1.2,1.27,1.63,1.05,2.06,2.08,2
300000GN000000363,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000364,33.82,22.21,13.31,8.28,11.33,16.05,14.07,13.33,8.14,5.42,0.0,1.16,0.0,0.0,0.0,0.0,3
300000GN000000365,39.21,28.39,16.11,6.29,9.42,17.93,14.28,16.56,10.15,4.29,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000366,11.38,7.97,4.37,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000367,4.78,4.33,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000368,0.0,0.59,1.01,1.25,0.61,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN000000369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000370,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000371,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000375,20.87,17.48,23.42,17.01,13.71,13.73,10.91,13.13,10.61,2.08,0.0,0.0,0.0,0.0,0.0,8.12,3
300000GN000000376,19.7,17.92,20.69,12.01,8.58,9.96,8.57,9.61,7.6,1.41,0.0,0.0,0.0,0.0,0.0,12.1,3
300000GN000000377,0.1,0.01,0.13,0.07,0.0,0.14,0.0,0.09,0.06,0.16,0.03,0.0,0.0,0.0,0.0,0.0,3
300000GN000000378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000380,13.68,9.43,6.55,6.18,7.88,7.52,3.09,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000381,11.91,8.46,4.42,3.73,3.69,5.27,2.4,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN000000404,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,3
300000GN000000405,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,3
300000GN000000406,0.15,0.18,0.17,0.16,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.18,0.16,0.18,0.18,0.16,3
300000GN000000407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000408,0.19,0.2,0.19,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.2,0.19,0.2,0.19,3
300000GN000000409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN000000414,2.92,2.77,2.62,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000432,49.25,42.47,22.92,17.27,25.06,29.33,32.52,27.31,27.25,29.97,17.4,10.89,1.68,1.18,0.0,0.0,3
300000GN00000433,50.44,45.54,20.09,15.53,23.29,27.2,27.65,21.33,25.25,29.33,14.96,7.49,0.92,0.05,0.0,0.0,3
300000GN00000434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000441,20.09,16.55,12.52,9.53,11.43,8.59,9.84,3.78,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000442,22.28,17.29,14.65,12.18,13.41,12.89,11.67,6.04,4.81,1.65,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.64,0.69,0.62,0.62,5
300000GN00000444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000446,18.1,21.5,32.21,37.62,22.06,13.48,13.04,17.61,12.42,4.62,1.48,0.0,0.0,0.0,0.0,0.0,3
300000GN00000447,20.71,24.54,30.53,37.22,26.02,16.25,20.64,22.49,14.59,8.18,4.33,3.97,0.31,0.0,0.0,0.0,3
300000GN00000448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000449,7.84,12.17,14.65,15.04,7.52,3.52,4.15,4.25,6.68,0.73,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN00000450,9.61,12.64,14.89,13.66,9.33,3.46,4.53,3.75,5.02,0.19,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN00000451,18.7,22.84,26.78,26.96,18.59,7.59,8.27,10.34,4.61,4.03,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN00000452,23.06,26.03,33.46,31.0,22.1,8.33,10.24,13.22,6.14,4.29,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN00000457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000478,40.96,45.87,40.62,21.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000480,31.58,46.94,37.38,19.76,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000481,63.03,53.74,40.51,34.04,11.3,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000482,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000483,58.65,39.84,21.59,24.06,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000485,15.81,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000486,14.14,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000487,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
300000GN00000488,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000490,67.02,47.72,35.72,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000494,6.27,11.43,9.28,6.95,2.5,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000495,0.0,7.84,11.86,13.23,22.45,11.51,5.05,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN00000496,9.68,8.74,8.9,10.85,11.08,5.45,3.57,1.63,2.26,1.73,0.0,0.0,0.0,0.0,0.0,0.0,3
300000GN00000497,9.93,15.18,11.13,8.4,1.12,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000511,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
300000GN00000512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
300000GN00000513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
